Title,Date,View_URL,View,View1,middle,Author,colsm4,colsm42,colsm43,maintext,View4,View5,View6,View7,Like,socialshareicon,socialshareicon_URL,socialshareicon8,socialshareicon_URL9,socialshareicon10,socialshareicon_URL11,socialshareicon12,Content
Current Employee - Student,"September 19, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW36138094.htm,"""was good""",5.0,"in Bedok New Town, East","Bedok New Town, East",Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than a year,Pros,Awesome and had fun and supportive,Cons,There are literally no cons,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW36138094.htm&text=Google+review+on+%23Glassdoor%3A+%22was%20good%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22was%20good%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW36138094.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW36138094.htm,Copy Link,Flag as Inappropriate
Current Employee - Senior Recruiter,"September 15, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW36003083.htm,"""Great company""",5.0,,,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than 3 years,Pros,"Benefits, culture, innovation, technology, global network.",Cons,"Sometimes overly political, a lot of virtue signaling.",Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW36003083.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20company%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20company%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW36003083.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW36003083.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"September 13, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW35914716.htm,"""Great place to work at!""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than 3 years,Pros,A lot of independence over your work. Full of amazing and smart people that you can continuously learn from. Great perks and benefits (especially a super generous medical coverage).,Cons,"It gets a bit bureaucratic to do things/launch some things at times as everything needs to be thoroughly reviewed. With so many amazing folks around sometimes it's hard to stand out from the crowd, and this might give you a case of Impostor Syndrome.",Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW35914716.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20place%20to%20work%20at!%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20place%20to%20work%20at!%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW35914716.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW35914716.htm,Copy Link,Flag as Inappropriate
Former Employee - Software Product Sprint,"September 9, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW35774677.htm,"""Great mentorship""",5.0,in Singapore,Singapore,,,,I worked at Google part-time,Pros,"- Get to work on a group project under great mentorship of a google engineer
- Weekly soft skills and technical skills training sessions",Cons,Nothing much. It is a very well organized program,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW35774677.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20mentorship%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20mentorship%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW35774677.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW35774677.htm,Copy Link,Flag as Inappropriate
Current Employee - Senior Solutions Consultant,"September 12, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW35891886.htm,"""Great culture and people but slow career progression""",4.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than 5 years,Pros,"Culture and people are amazing. The perks and the ""people-first"" mindset (at least in the Ads business) are great.",Cons,Slow career progression and lack of opportunities to move fast and innovate.,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW35891886.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20culture%20and%20people%20but%20slow%20career%20progression%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20culture%20and%20people%20but%20slow%20career%20progression%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW35891886.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW35891886.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"August 27, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW35347251.htm,"""Good place""",5.0,,,Recommends,Approves of CEO,,I have been working at Google full-time,Pros,Good money and good office,Cons,No work and under work,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW35347251.htm&text=Google+review+on+%23Glassdoor%3A+%22Good%20place%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Good%20place%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW35347251.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW35347251.htm,Copy Link,Flag as Inappropriate
Current Employee - Sales Manager,"August 24, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW35208295.htm,"""great""",5.0,in Singapore,Singapore,Recommends,Negative Outlook,,I have been working at Google full-time for less than a year,Pros,great for the full job,Cons,busy with working all day,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW35208295.htm&text=Google+review+on+%23Glassdoor%3A+%22great%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22great%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW35208295.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW35208295.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"August 22, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW35178633.htm,"""good working environment""",5.0,,,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time,Pros,"good environment 
friendly co-workers
good culture",Cons,"long hours 
multiple projects
no work life balance",Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW35178633.htm&text=Google+review+on+%23Glassdoor%3A+%22good%20working%20environment%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22good%20working%20environment%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW35178633.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW35178633.htm,Copy Link,Flag as Inappropriate
Current Employee - Associate Director,"September 1, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW35522894.htm,"""Great company""",4.0,in Singapore,Singapore,,,,I have been working at Google full-time,Pros,Great company to work for,Cons,Test test test test test,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW35522894.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20company%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20company%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW35522894.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW35522894.htm,Copy Link,Flag as Inappropriate
Current Employee - Engineer,"August 26, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW35333050.htm,"""Maintain DC Business""",4.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than 3 years,Pros,"Good enviroment, flexible working time",Cons,"A lot of OT, not enough man power",Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW35333050.htm&text=Google+review+on+%23Glassdoor%3A+%22Maintain%20DC%20Business%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Maintain%20DC%20Business%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW35333050.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW35333050.htm,Copy Link,Flag as Inappropriate
